Number,Bid Package,Company,Company Status,Contact Status,City,State,Zip
210500,Fire Protection,Music City Fire Sprinkler LLC,Not Bidding,Invited,Hendersonville,TN,
210500,Fire Protection,Giles Fire Protection,Not Bidding,Invited,Memphis,TN,38118
210500,Fire Protection,River City Sprinklers Inc.,Bid Submitted,Viewed,Cordova,TN,38018
210500,Fire Protection,"Lasco, Inc.",Bidding,Viewed,Memphis,TN,38103
210500,Fire Protection,"American Fire Protection Group, Inc.",Bid Submitted,Invited,Jackson,TN,38301
210500,Fire Protection,Joiner Fire Sprinkler Co. Inc.,Undecided,Invited,Birmingham,AL,35222
210500,Fire Protection,Security Fire,Bidding,Viewed,Memphis,TN,38141
210500,Fire Protection,"State Systems, Inc.",Bidding,Invited,Memphis,TN,38118
210500,Fire Protection,Tri State Sprinkler,Not Bidding,Invited,Tupelo,MS,38801
210500,Fire Protection,Music City Fire Sprinkler LLC,Not Bidding,Invited,Hendersonville,TN,
210500,Fire Protection,Key Fire Protection,Not Bidding,Invited,Jackson,TN,38305
210500,Fire Protection,Giles Fire Protection,Not Bidding,Viewed,Memphis,TN,38118
230500,Mechanical,Gipson Mechanical Contractors INC.,Bidding,Viewed,Memphis,TN,38134
230500,Mechanical,Metro Mechanical Inc.,Not Bidding,Invited,Memphis,TN,38134
230500,Mechanical,"Bernhard MCC, LLC",Undecided,Invited,Memphis,TN,38118
230500,Mechanical,"Kimbel Mechanical Systems, Inc.",Bidding,Viewed,Springdale,AR,72762
230500,Mechanical,Knight & Wilson Inc.,Not Bidding,Viewed,Memphis,TN,38126
230500,Mechanical,Comfort Systems USA,Undecided,Invited,Birmingham,AL,35203
260100,Electrical,Broadway Electric Service Corporation,Bidding,Viewed,Knoxville,TN,37917
260100,Electrical,Ellendale Electric Co.,Bidding,Viewed,Memphis,TN,38133
260100,Electrical,Gephart Electric,Bidding,Viewed,Robinsonville,MS,38664
260100,Electrical,Gephart Electric,Bidding,Viewed,Robinsonville,MS,38664
260100,Electrical,"S&S Electric Company, Inc.",Bidding,Invited,Memphis,TN,38181
260100,Electrical,A-C Electric Inc.,Undecided,Invited,Memphis,TN,38111
260100,Electrical,Ellendale Electric Co.,Bidding,Viewed,Memphis,TN,38133
260100,Electrical,"Pyramid Electric, Inc.",Bidding,Viewed,Bartlett,TN,38133
260100,Electrical,LIberty Electric LLC,Bidding,Viewed,Memphis,TN,38122
260100,Electrical,Broadway Electric Service Corporation,Bidding,Viewed,Knoxville,TN,37917
